card_id,points_earned,points_redeemed,points_balance,transaction_count,customer_id,card_status
C70001,240,0,240.0,2,10001.0,active
C70006,418,5,413.0,6,10008.0,active
C70007,160,0,160.0,3,10009.0,active
C70008,268,70,198.0,6,10012.0,active
C70009,418,0,418.0,5,10013.0,active
C70010,240,0,240.0,2,10014.0,active
C70011,240,0,240.0,2,10016.0,active
C70012,620,0,620.0,6,10017.0,active
C70013,120,0,120.0,1,10018.0,active
C70014,608,0,608.0,6,10020.0,active
C70015,120,10,110.0,2,10022.0,active
C70016,290,0,290.0,3,10023.0,active
C70017,400,0,400.0,5,10025.0,active
C70018,0,20,-20.0,1,10026.0,inactive
C70019,240,0,240.0,2,10029.0,active
C70020,170,0,170.0,2,10031.0,active
C70021,360,0,360.0,3,10032.0,active
C70022,240,10,230.0,3,10033.0,active
C70023,410,100,310.0,6,10035.0,active
C70024,240,0,240.0,2,10038.0,active
C70025,550,5,545.0,7,10041.0,active
C70026,240,5,235.0,3,10043.0,active
C70027,243,0,243.0,3,10044.0,active
C70028,240,0,240.0,2,10045.0,active
C70029,360,50,310.0,6,10046.0,active
C70031,600,120,480.0,7,10051.0,active
C70032,650,0,650.0,6,10052.0,active
C70033,240,0,240.0,2,10054.0,active
C70034,240,10,230.0,3,10055.0,active
C70035,20,0,20.0,1,10056.0,active
C70036,10,20,-10.0,2,10057.0,inactive
C70037,290,0,290.0,3,10061.0,active
C70038,240,0,240.0,2,10062.0,active
C70039,600,5,595.0,6,10063.0,active
C70040,530,0,530.0,5,10064.0,active
C70041,240,0,240.0,2,10067.0,active
C70042,410,0,410.0,4,10068.0,active
C70043,410,20,390.0,5,10069.0,active
C70044,268,0,268.0,4,10070.0,active
C70046,480,0,480.0,4,10073.0,active
C70047,360,0,360.0,3,10075.0,active
C70048,0,20,-20.0,1,10076.0,blocked
C70049,120,0,120.0,1,10077.0,active
C70050,408,0,408.0,6,10078.0,active
C70051,120,10,110.0,2,10080.0,active
C70052,170,0,170.0,2,10081.0,active
C70054,240,0,240.0,2,10083.0,active
C70055,240,0,240.0,2,10084.0,active
C70056,120,0,120.0,1,10085.0,active
C70057,700,0,700.0,7,10086.0,active
C70058,460,0,460.0,5,10088.0,active
C70059,480,10,470.0,5,10091.0,active
C70060,360,10,350.0,4,10092.0,active
C70062,410,0,410.0,4,10097.0,active
C70063,420,0,420.0,5,10098.0,active
C70064,50,0,50.0,1,10099.0,active
C70065,380,0,380.0,4,10100.0,active
C70066,120,10,110.0,2,10102.0,active
C70067,290,0,290.0,3,10104.0,active
C70068,530,0,530.0,5,10105.0,active
C70069,410,0,410.0,4,10107.0,active
C70070,240,0,240.0,2,10112.0,active
C70071,128,0,128.0,2,10114.0,active
C70072,170,0,170.0,2,10115.0,active
C70074,128,0,128.0,2,10117.0,active
C70075,0,120,-120.0,2,10118.0,inactive
C70076,0,10,-10.0,1,10120.0,inactive
C70077,45,0,45.0,2,10122.0,active
C70078,120,0,120.0,1,10123.0,active
C70079,480,0,480.0,4,10124.0,active
C70080,268,100,168.0,5,10125.0,active
C70081,410,0,410.0,4,10126.0,active
C70082,298,0,298.0,4,10128.0,active
C70083,240,0,240.0,2,10129.0,active
C70084,480,10,470.0,5,10130.0,active
C70085,10,10,0.0,2,10135.0,blocked
C70086,120,0,120.0,1,10136.0,active
C70087,469,10,459.0,8,10137.0,active
C70088,170,0,170.0,2,10138.0,active
C70089,170,0,170.0,2,10140.0,active
C70090,25,0,25.0,1,10141.0,blocked
C70091,530,0,530.0,5,10142.0,active
C70092,360,0,360.0,3,10143.0,active
C70093,770,120,650.0,9,10144.0,active
C70094,240,10,230.0,3,10146.0,active
C70095,893,0,893.0,9,10149.0,active
C70096,290,10,280.0,4,10151.0,active
C70097,550,5,545.0,7,10152.0,active
C70098,488,0,488.0,5,10153.0,active
C70099,600,20,580.0,7,10154.0,active
C70100,128,0,128.0,2,10155.0,active
C70101,290,0,290.0,3,10156.0,active
C70102,240,100,140.0,3,10157.0,active
C70103,365,50,315.0,6,10158.0,active
C70105,368,10,358.0,7,10161.0,active
C70106,650,0,650.0,6,10162.0,active
C70107,123,0,123.0,2,10163.0,active
C70108,120,20,100.0,2,10165.0,active
C70109,10,0,10.0,1,10167.0,inactive
C70110,620,25,595.0,10,10168.0,active
C70112,128,0,128.0,2,10171.0,active
C70113,580,0,580.0,6,10173.0,active
C70114,410,0,410.0,4,10175.0,active
C70115,603,10,593.0,9,10176.0,active
C70116,360,5,355.0,4,10178.0,active
C70117,360,10,350.0,4,10180.0,active
C70118,600,0,600.0,5,10181.0,active
C70119,240,0,240.0,2,10182.0,active
C70120,603,5,598.0,7,10183.0,active
C70122,140,0,140.0,2,10185.0,active
C70123,530,20,510.0,6,10186.0,active
C70124,410,50,360.0,7,10188.0,active
C70125,480,0,480.0,4,10190.0,active
C70126,530,25,505.0,7,10192.0,active
C70128,120,0,120.0,1,10194.0,active
C70129,0,20,-20.0,1,10195.0,active
C70130,360,0,360.0,3,10196.0,active
C70131,120,0,120.0,1,10197.0,active
C70132,530,20,510.0,6,10198.0,active
C70133,3,0,3.0,1,10199.0,active
C70134,260,0,260.0,3,10200.0,active
C70136,243,0,243.0,3,10203.0,active
C70139,600,30,570.0,7,10207.0,active
C70141,530,0,530.0,5,10210.0,active
C70142,240,0,240.0,2,10212.0,active
C70143,505,0,505.0,5,10216.0,active
C70144,0,10,-10.0,1,10217.0,inactive
C70145,240,50,190.0,3,10219.0,active
C70146,418,0,418.0,5,10220.0,active
C70147,140,0,140.0,2,10222.0,active
C70148,360,20,340.0,4,10223.0,active
C70149,0,20,-20.0,1,10225.0,inactive
C70150,410,0,410.0,4,10226.0,active
C70151,360,0,360.0,3,10228.0,active
C70152,360,20,340.0,4,10229.0,active
C70153,290,0,290.0,3,10230.0,active
C70154,203,0,203.0,4,10231.0,active
C70155,600,100,500.0,6,10232.0,active
C70156,410,0,410.0,4,10233.0,active
C70157,240,50,190.0,3,10234.0,active
C70159,121,0,121.0,2,10240.0,active
C70160,70,20,50.0,3,10241.0,active
C70161,170,70,100.0,4,10242.0,active
C70162,600,0,600.0,5,10243.0,active
C70163,600,0,600.0,5,10245.0,active
C70164,248,0,248.0,3,10246.0,active
C70165,460,100,360.0,6,10247.0,active
C70166,248,0,248.0,3,10248.0,active
C70167,500,0,500.0,5,10249.0,active
C70168,360,0,360.0,3,10250.0,active
C999999,99,0,99.0,1,,
