order_date,order_count,total_expected_revenue,total_cash_collected,total_refunds,net_collected_revenue
2026-01-01,4,12944.764,11449.32,2770.56,8678.76
2026-01-02,4,9615.786500000002,9615.79,152.64,9463.150000000001
2026-01-03,4,14100.5825,12180.75,0.0,12180.75
2026-01-04,5,14069.7805,14069.779999999999,0.0,14069.779999999999
2026-01-05,6,18942.25,18932.25,1347.52,17584.73
2026-01-06,5,14417.272,13028.87,0.0,13028.87
2026-01-07,5,13600.259,12339.02,0.0,12339.02
2026-01-08,5,16442.575,16788.29,384.04,16404.25
2026-01-09,5,12336.8445,12336.84,0.0,12336.84
2026-01-10,9,20368.025,20363.04,336.51,20026.53
2026-01-11,12,31254.5945,31234.59,1348.6399999999999,29885.95
2026-01-12,4,18442.548,18442.55,0.0,18442.55
2026-01-13,7,18652.879,18652.88,0.0,18652.88
2026-01-14,3,4570.538,4570.54,682.76,3887.7799999999997
2026-01-15,7,13833.005000000001,13833.0,0.0,13833.0
2026-01-16,4,11524.6205,11524.619999999999,0.0,11524.619999999999
2026-01-17,10,27560.808999999997,27897.64,0.0,27897.64
2026-01-18,7,20718.4185,20718.420000000002,277.18,20441.24
2026-01-19,10,28789.699,27257.09,1569.6,25687.49
2026-01-20,4,9121.327000000001,9121.33,0.0,9121.33
2026-01-21,8,25871.1085,25871.11,0.0,25871.11
2026-01-22,6,9371.0,9351.01,32.88,9318.13
2026-01-23,6,15777.718,15777.720000000001,591.44,15186.28
2026-01-24,6,15045.495,15045.48,746.12,14299.359999999999
2026-01-25,10,21859.9075,21854.9,929.24,20925.66
2026-01-26,4,13448.486,13448.490000000002,0.0,13448.490000000002
2026-01-27,5,18119.732,18119.73,0.0,18119.73
2026-01-28,9,27307.14,27287.14,0.0,27287.14
2026-01-29,6,13374.2765,11181.37,0.0,11181.37
2026-01-30,7,11688.0895,11688.08,0.0,11688.08
2026-01-31,4,11985.696,11985.71,317.68,11668.029999999999
2026-02-01,7,13214.047499999999,13214.050000000001,812.73,12401.32
