ledger_id,card_id,order_id,event_datetime,event_type,points_delta,ledger_source,customer_id,card_status,is_valid_card
L000001,C70057,500669.0,2026-04-14 02:00:00,earn,120.0,raw,10086.0,active,True
L000002,C70125,500051.0,2026-03-25 02:00:00,earn,120.0,raw,10190.0,active,True
L000003,C70115,500485.0,2026-01-13 02:00:00,earn,20.0,raw,10176.0,active,True
L000004,C70106,501124.0,2026-03-25 02:00:00,earn,120.0,raw,10162.0,active,True
L000005,C70126,500483.0,2026-01-30 02:00:00,earn,120.0,raw,10192.0,active,True
L000006,C70147,500818.0,2026-04-14 02:00:00,earn,20.0,raw,10222.0,active,True
L000007,C70113,501118.0,2026-02-09 02:00:00,earn,50.0,raw,10173.0,active,True
L000008,C70087,500783.0,2026-03-28 02:00:00,earn,8.0,raw,10137.0,active,True
L000009,C70163,501175.0,2026-01-11 02:00:00,earn,120.0,raw,10245.0,active,True
L000010,C70157,500666.0,2026-02-13 02:00:00,earn,120.0,raw,10234.0,active,True
L000011,C70097,500775.0,2026-01-29 02:00:00,earn,120.0,raw,10152.0,active,True
L000012,C70062,500347.0,2026-04-19 02:00:00,earn,120.0,raw,10097.0,active,True
L000013,C70095,500097.0,2026-03-20 02:00:00,earn,120.0,raw,10149.0,active,True
L000014,C70008,500303.0,2026-01-05 02:00:00,earn,120.0,raw,10012.0,active,True
L000015,C70031,500213.0,2026-04-11 02:00:00,earn,120.0,raw,10051.0,active,True
L000016,C70110,500924.0,2026-04-27 02:00:00,earn,50.0,raw,10168.0,active,True
L000017,C70040,500222.0,2026-03-18 02:00:00,earn,120.0,raw,10064.0,active,True
L000018,C70120,500491.0,2026-01-25 02:00:00,earn,120.0,raw,10183.0,active,True
L000019,C70093,500520.0,2026-03-18 02:00:00,earn,120.0,raw,10144.0,active,True
L000020,C70143,500629.0,2026-04-09 02:00:00,earn,120.0,raw,10216.0,active,True
L000021,C70084,500795.0,2026-02-19 02:00:00,earn,120.0,raw,10130.0,active,True
L000022,C70166,500925.0,2026-03-21 02:00:00,earn,120.0,raw,10248.0,active,True
L000023,C70026,500679.0,2026-02-18 02:00:00,earn,120.0,raw,10043.0,active,True
L000024,C70015,500284.0,2026-04-11 02:00:00,earn,120.0,raw,10022.0,active,True
L000025,C70096,500027.0,2026-01-25 02:00:00,earn,120.0,raw,10151.0,active,True
L000026,C70027,500604.0,2026-01-17 02:00:00,earn,120.0,raw,10044.0,active,True
L000027,C70082,500937.0,2026-04-04 02:00:00,earn,120.0,raw,10128.0,active,True
L000028,C70146,500884.0,2026-03-16 02:00:00,earn,8.0,raw,10220.0,active,True
L000029,C70027,500754.0,2026-04-10 02:00:00,earn,120.0,raw,10044.0,active,True
L000030,C70123,500455.0,2026-04-16 02:00:00,earn,120.0,raw,10186.0,active,True
L000031,C70081,500037.0,2026-03-25 02:00:00,earn,120.0,raw,10126.0,active,True
L000032,C70148,500599.0,2026-04-11 02:00:00,earn,120.0,raw,10223.0,active,True
L000033,C70106,500406.0,2026-03-08 02:00:00,earn,120.0,raw,10162.0,active,True
L000034,C70056,500780.0,2026-01-28 02:00:00,earn,120.0,raw,10085.0,active,True
L000035,C70071,500283.0,2026-01-17 02:00:00,earn,120.0,raw,10114.0,active,True
L000036,C70079,501144.0,2026-04-11 02:00:00,earn,120.0,raw,10124.0,active,True
L000037,C70101,500050.0,2026-02-09 02:00:00,earn,120.0,raw,10156.0,active,True
L000038,C70099,500725.0,2026-02-27 02:00:00,earn,120.0,raw,10154.0,active,True
L000039,C70105,500661.0,2026-01-18 02:00:00,earn,8.0,raw,10161.0,active,True
L000040,C70007,501184.0,2026-01-25 02:00:00,earn,120.0,raw,10009.0,active,True
L000041,C70156,501183.0,2026-04-21 02:00:00,earn,120.0,raw,10233.0,active,True
L000042,C70113,501005.0,2026-02-14 02:00:00,earn,120.0,raw,10173.0,active,True
L000043,C70091,500975.0,2026-02-14 02:00:00,earn,120.0,raw,10142.0,active,True
L000044,C70136,500627.0,2026-01-18 02:00:00,earn,120.0,raw,10203.0,active,True
L000045,C70152,500779.0,2026-04-08 02:00:00,earn,120.0,raw,10229.0,active,True
L000046,C70117,500207.0,2026-04-27 02:00:00,earn,120.0,raw,10180.0,active,True
L000047,C70092,500731.0,2026-02-28 02:00:00,earn,120.0,raw,10143.0,active,True
L000048,C70040,500377.0,2026-03-27 02:00:00,earn,120.0,raw,10064.0,active,True
L000049,C70083,500564.0,2026-01-27 02:00:00,earn,120.0,raw,10129.0,active,True
L000050,C70132,500793.0,2026-04-06 02:00:00,earn,50.0,raw,10198.0,active,True
L000051,C70116,500765.0,2026-03-28 02:00:00,earn,120.0,raw,10178.0,active,True
L000052,C70166,500626.0,2026-04-22 02:00:00,earn,120.0,raw,10248.0,active,True
L000053,C70150,501081.0,2026-01-01 02:00:00,earn,50.0,raw,10226.0,active,True
L000054,C70067,500232.0,2026-03-10 02:00:00,earn,120.0,raw,10104.0,active,True
L000055,C70136,500164.0,2026-04-05 02:00:00,earn,3.0,raw,10203.0,active,True
L000056,C70044,500603.0,2026-01-11 02:00:00,earn,120.0,raw,10070.0,active,True
L000057,C70057,500587.0,2026-03-01 02:00:00,earn,120.0,raw,10086.0,active,True
L000058,C70099,500543.0,2026-01-18 02:00:00,earn,120.0,raw,10154.0,active,True
L000059,C70043,500910.0,2026-04-12 02:00:00,earn,120.0,raw,10069.0,active,True
L000060,C70012,500909.0,2026-02-24 02:00:00,earn,120.0,raw,10017.0,active,True
L000061,C70087,500393.0,2026-02-26 02:00:00,earn,120.0,raw,10137.0,active,True
L000062,C70012,500684.0,2026-02-13 02:00:00,earn,120.0,raw,10017.0,active,True
L000063,C70155,500256.0,2026-04-13 02:00:00,earn,120.0,raw,10232.0,active,True
L000064,C70105,501027.0,2026-01-05 02:00:00,earn,120.0,raw,10161.0,active,True
L000065,C70050,500983.0,2026-02-03 02:00:00,earn,8.0,raw,10078.0,active,True
L000066,C70025,501196.0,2026-03-29 02:00:00,earn,50.0,raw,10041.0,active,True
L000067,C70021,500298.0,2026-01-21 02:00:00,earn,120.0,raw,10032.0,active,True
L000068,C70159,500508.0,2026-01-14 02:00:00,earn,120.0,raw,10240.0,active,True
L000069,C70033,501181.0,2026-02-17 02:00:00,earn,120.0,raw,10054.0,active,True
L000070,C70166,500751.0,2026-03-21 02:00:00,earn,8.0,raw,10248.0,active,True
L000071,C70099,500429.0,2026-02-15 02:00:00,earn,120.0,raw,10154.0,active,True
L000072,C70107,500916.0,2026-04-18 02:00:00,earn,120.0,raw,10163.0,active,True
L000073,C70016,500353.0,2026-02-14 02:00:00,earn,50.0,raw,10023.0,active,True
L000074,C70161,500562.0,2026-01-19 02:00:00,earn,50.0,raw,10242.0,active,True
L000075,C70032,501099.0,2026-02-18 02:00:00,earn,120.0,raw,10052.0,active,True
L000076,C70159,500887.0,2026-01-11 02:00:00,earn,1.0,raw,10240.0,active,True
L000077,C70148,500843.0,2026-03-25 02:00:00,earn,120.0,raw,10223.0,active,True
L000078,C70112,500344.0,2026-04-21 02:00:00,earn,120.0,raw,10171.0,active,True
L000079,C70116,500073.0,2026-03-14 02:00:00,earn,120.0,raw,10178.0,active,True
L000080,C70025,500777.0,2026-01-29 02:00:00,earn,20.0,raw,10041.0,active,True
L000081,C70077,500297.0,2026-04-28 02:00:00,earn,20.0,raw,10122.0,active,True
L000082,C70057,500682.0,2026-01-10 02:00:00,earn,50.0,raw,10086.0,active,True
L000083,C70093,500056.0,2026-01-15 02:00:00,earn,120.0,raw,10144.0,active,True
L000084,C70113,500114.0,2026-04-09 02:00:00,earn,120.0,raw,10173.0,active,True
L000085,C70095,500123.0,2026-04-08 02:00:00,earn,120.0,raw,10149.0,active,True
L000086,C70139,500236.0,2026-01-13 02:00:00,earn,120.0,raw,10207.0,active,True
L000087,C70039,500074.0,2026-02-08 02:00:00,earn,120.0,raw,10063.0,active,True
L000088,C70046,501009.0,2026-02-22 02:00:00,earn,120.0,raw,10073.0,active,True
L000089,C70154,500386.0,2026-03-17 02:00:00,earn,50.0,raw,10231.0,active,True
L000090,C70083,500368.0,2026-04-20 02:00:00,earn,120.0,raw,10129.0,active,True
L000091,C70017,500003.0,2026-01-11 02:00:00,earn,120.0,raw,10025.0,active,True
L000092,C70132,500819.0,2026-03-09 02:00:00,earn,120.0,raw,10198.0,active,True
