ledger_id,card_id,order_id,event_datetime,event_type,points_delta
L000001,C70057,500669,2026-04-14 02:00:00,earn,120
L000002,C70125,500051,2026-03-25 02:00:00,earn,120
L000003,C70115,500485,2026-01-13 02:00:00,earn,20
L000004,C70106,501124,2026-03-25 02:00:00,earn,120
L000005,C70126,500483,2026-01-30 02:00:00,earn,120
L000006,C70147,500818,2026-04-14 02:00:00,earn,20
L000007,C70113,501118,2026-02-09 02:00:00,earn,50
L000008,C70087,500783,2026-03-28 02:00:00,earn,8
L000009,C70163,501175,2026-01-11 02:00:00,earn,120
L000010,C70157,500666,2026-02-13 02:00:00,earn,120
L000011,C70097,500775,2026-01-29 02:00:00,earn,120
L000012,C70062,500347,2026-04-19 02:00:00,earn,120
L000013,C70095,500097,2026-03-20 02:00:00,earn,120
L000014,C70008,500303,2026-01-05 02:00:00,earn,120
L000015,C70031,500213,2026-04-11 02:00:00,earn,120
L000016,C70110,500924,2026-04-27 02:00:00,earn,50
L000017,C70040,500222,2026-03-18 02:00:00,earn,120
L000018,C70120,500491,2026-01-25 02:00:00,earn,120
L000019,C70093,500520,2026-03-18 02:00:00,earn,120
L000020,C70143,500629,2026-04-09 02:00:00,earn,120
L000021,C70084,500795,2026-02-19 02:00:00,earn,120
L000022,C70166,500925,2026-03-21 02:00:00,earn,120
L000023,C70026,500679,2026-02-18 02:00:00,earn,120
L000024,C70015,500284,2026-04-11 02:00:00,earn,120
L000025,C70096,500027,2026-01-25 02:00:00,earn,120
L000026,C70027,500604,2026-01-17 02:00:00,earn,120
L000027,C70082,500937,2026-04-04 02:00:00,earn,120
L000028,C70146,500884,2026-03-16 02:00:00,earn,8
L000029,C70027,500754,2026-04-10 02:00:00,earn,120
L000030,C70123,500455,2026-04-16 02:00:00,earn,120
L000031,C70081,500037,2026-03-25 02:00:00,earn,120
L000032,C70148,500599,2026-04-11 02:00:00,earn,120
L000033,C70106,500406,2026-03-08 02:00:00,earn,120
L000034,C70056,500780,2026-01-28 02:00:00,earn,120
L000035,C70071,500283,2026-01-17 02:00:00,earn,120
L000036,C70079,501144,2026-04-11 02:00:00,earn,120
L000037,C70101,500050,2026-02-09 02:00:00,earn,120
L000038,C70099,500725,2026-02-27 02:00:00,earn,120
L000039,C70105,500661,2026-01-18 02:00:00,earn,8
L000040,C70007,501184,2026-01-25 02:00:00,earn,120
L000041,C70156,501183,2026-04-21 02:00:00,earn,120
L000042,C70113,501005,2026-02-14 02:00:00,earn,120
L000043,C70091,500975,2026-02-14 02:00:00,earn,120
L000044,C70136,500627,2026-01-18 02:00:00,earn,120
L000045,C70152,500779,2026-04-08 02:00:00,earn,120
L000046,C70117,500207,2026-04-27 02:00:00,earn,120
L000047,C70092,500731,2026-02-28 02:00:00,earn,120
L000048,C70040,500377,2026-03-27 02:00:00,earn,120
L000049,C70083,500564,2026-01-27 02:00:00,earn,120
L000050,C70132,500793,2026-04-06 02:00:00,earn,50
L000051,C70116,500765,2026-03-28 02:00:00,earn,120
L000052,C70166,500626,2026-04-22 02:00:00,earn,120
L000053,C70150,501081,2026-01-01 02:00:00,earn,50
L000054,C70067,500232,2026-03-10 02:00:00,earn,120
L000055,C70136,500164,2026-04-05 02:00:00,earn,3
L000056,C70044,500603,2026-01-11 02:00:00,earn,120
L000057,C70057,500587,2026-03-01 02:00:00,earn,120
L000058,C70099,500543,2026-01-18 02:00:00,earn,120
L000059,C70043,500910,2026-04-12 02:00:00,earn,120
L000060,C70012,500909,2026-02-24 02:00:00,earn,120
L000061,C70087,500393,2026-02-26 02:00:00,earn,120
L000062,C70012,500684,2026-02-13 02:00:00,earn,120
L000063,C70155,500256,2026-04-13 02:00:00,earn,120
L000064,C70105,501027,2026-01-05 02:00:00,earn,120
L000065,C70050,500983,2026-02-03 02:00:00,earn,8
L000066,C70025,501196,2026-03-29 02:00:00,earn,50
L000067,C70021,500298,2026-01-21 02:00:00,earn,120
L000068,C70159,500508,2026-01-14 02:00:00,earn,120
L000069,C70033,501181,2026-02-17 02:00:00,earn,120
L000070,C70166,500751,2026-03-21 02:00:00,earn,8
L000071,C70099,500429,2026-02-15 02:00:00,earn,120
L000072,C70107,500916,2026-04-18 02:00:00,earn,120
L000073,C70016,500353,2026-02-14 02:00:00,earn,50
L000074,C70161,500562,2026-01-19 02:00:00,earn,50
L000075,C70032,501099,2026-02-18 02:00:00,earn,120
L000076,C70159,500887,2026-01-11 02:00:00,earn,1
L000077,C70148,500843,2026-03-25 02:00:00,earn,120
L000078,C70112,500344,2026-04-21 02:00:00,earn,120
L000079,C70116,500073,2026-03-14 02:00:00,earn,120
L000080,C70025,500777,2026-01-29 02:00:00,earn,20
L000081,C70077,500297,2026-04-28 02:00:00,earn,20
L000082,C70057,500682,2026-01-10 02:00:00,earn,50
L000083,C70093,500056,2026-01-15 02:00:00,earn,120
L000084,C70113,500114,2026-04-09 02:00:00,earn,120
L000085,C70095,500123,2026-04-08 02:00:00,earn,120
L000086,C70139,500236,2026-01-13 02:00:00,earn,120
L000087,C70039,500074,2026-02-08 02:00:00,earn,120
L000088,C70046,501009,2026-02-22 02:00:00,earn,120
L000089,C70154,500386,2026-03-17 02:00:00,earn,50
L000090,C70083,500368,2026-04-20 02:00:00,earn,120
L000091,C70017,500003,2026-01-11 02:00:00,earn,120
L000092,C70132,500819,2026-03-09 02:00:00,earn,120
L000093,C70164,500821,2026-04-05 02:00:00,earn,120
L000094,C70110,500743,2026-02-02 02:00:00,earn,120
L000095,C70165,500845,2026-04-15 02:00:00,earn,120
L000096,C70167,501107,2026-04-05 02:00:00,earn,120
L000097,C70125,500892,2026-02-10 02:00:00,earn,120
L000098,C70022,500917,2026-04-25 02:00:00,earn,120
L000099,C70089,500254,2026-02-13 02:00:00,earn,120
L000100,C70010,500739,2026-04-06 02:00:00,earn,120
L000101,C70126,500720,2026-01-16 02:00:00,earn,120
L000102,C70100,500081,2026-01-02 02:00:00,earn,120
L000103,C70134,500934,2026-04-06 02:00:00,earn,20
L000104,C70155,500161,2026-02-04 02:00:00,earn,120
L000105,C70146,500776,2026-04-15 02:00:00,earn,120
L000106,C70095,500633,2026-04-15 02:00:00,earn,120
L000107,C70120,500489,2026-01-19 02:00:00,earn,120
L000108,C70026,500190,2026-03-08 02:00:00,earn,120
L000109,C70037,500524,2026-03-23 02:00:00,earn,120
L000110,C70082,500384,2026-01-21 02:00:00,earn,50
L000111,C70032,500068,2026-01-10 02:00:00,earn,120
L000112,C70020,500029,2026-02-15 02:00:00,earn,120
L000113,C70079,500070,2026-03-23 02:00:00,earn,120
L000114,C70143,500879,2026-04-17 02:00:00,earn,120
L000115,C70042,501078,2026-01-15 02:00:00,earn,120
L000116,C70134,500753,2026-04-27 02:00:00,earn,120
L000117,C70139,500042,2026-04-04 02:00:00,earn,120
L000118,C70043,500521,2026-02-28 02:00:00,earn,120
L000119,C70167,500995,2026-04-04 02:00:00,earn,20
L000120,C70014,500444,2026-02-03 02:00:00,earn,120
L000121,C70154,500072,2026-04-28 02:00:00,earn,8
L000122,C70058,501185,2026-01-21 02:00:00,earn,50
L000123,C70017,500853,2026-04-08 02:00:00,earn,20
L000124,C70165,500809,2026-01-26 02:00:00,earn,50
L000125,C70070,500702,2026-04-21 02:00:00,earn,120
L000126,C70123,500365,2026-03-10 02:00:00,earn,120
L000127,C70050,500279,2026-03-26 02:00:00,earn,20
L000128,C70146,500497,2026-02-01 02:00:00,earn,120
L000129,C70119,500570,2026-01-15 02:00:00,earn,120
L000130,C70115,500631,2026-04-15 02:00:00,earn,120
L000131,C70081,501182,2026-02-21 02:00:00,earn,120
L000132,C70118,501019,2026-01-20 02:00:00,earn,120
L000133,C70156,500135,2026-02-17 02:00:00,earn,120
L000134,C70125,501166,2026-04-29 02:00:00,earn,120
L000135,C70034,500456,2026-01-16 02:00:00,earn,120
L000136,C70074,500480,2026-03-06 02:00:00,earn,8
L000137,C70113,500006,2026-02-14 02:00:00,earn,50
L000138,C70115,501155,2026-02-08 02:00:00,earn,120
L000139,C70167,500667,2026-01-21 02:00:00,earn,120
L000140,C70065,500482,2026-04-15 02:00:00,earn,120
L000141,C70069,500613,2026-03-24 02:00:00,earn,120
L000142,C70059,500970,2026-01-27 02:00:00,earn,120
L000143,C70047,500516,2026-01-22 02:00:00,earn,120
L000144,C70087,500824,2026-04-17 02:00:00,earn,120
L000145,C70097,500474,2026-01-27 02:00:00,earn,120
L000146,C70012,500271,2026-04-09 02:00:00,earn,120
L000147,C70009,500837,2026-02-15 02:00:00,earn,120
L000148,C70095,500093,2026-04-17 02:00:00,earn,3
L000149,C70124,500007,2026-01-01 02:00:00,earn,20
L000150,C70062,500057,2026-02-10 02:00:00,earn,120
L000151,C70079,500280,2026-01-08 02:00:00,earn,120
L000152,C70110,501089,2026-02-05 02:00:00,earn,120
L000153,C70142,500918,2026-01-29 02:00:00,earn,120
L000154,C70065,500567,2026-03-09 02:00:00,earn,120
L000155,C70041,501119,2026-01-07 02:00:00,earn,120
L000156,C70098,501134,2026-02-05 02:00:00,earn,120
L000157,C70024,500711,2026-01-25 02:00:00,earn,120
L000158,C70105,500618,2026-04-11 02:00:00,earn,50
L000159,C70124,500120,2026-01-30 02:00:00,earn,50
L000160,C70151,500955,2026-04-02 02:00:00,earn,120
L000161,C70062,500851,2026-02-07 02:00:00,earn,120
