order_id,customer_id,order_date,order_status,sales_channel,currency
500001,10226,2026-04-20,paid,store,CHF
500002,10196,2026-01-19,pending,online,CHF
500003,10025,2026-01-11,paid,store,CHF
500004,10079,2026-03-18,paid,store,CHF
500005,10068,2026-02-15,pending,online,CHF
500006,10173,2026-02-14,paid,mobile_app,CHF
500007,10188,2026-01-01,paid,online,CHF
500008,10012,2026-02-09,paid,mobile_app,CHF
500009,10032,2026-04-18,paid,online,CHF
500010,10128,2026-01-19,paid,online,CHF
500011,10096,2026-03-17,paid,store,CHF
500012,10092,2026-03-13,paid,online,CHF
500013,10141,2026-03-13,paid,mobile_app,CHF
500014,10031,2026-03-02,cancelled,store,CHF
500015,10078,2026-04-27,paid,store,CHF
500016,10020,2026-04-19,paid,online,CHF
500017,10146,2026-01-12,paid,store,CHF
500018,10221,2026-03-02,paid,store,CHF
500019,10060,2026-04-22,paid,online,CHF
500020,10191,2026-02-02,paid,mobile_app,CHF
500021,10134,2026-02-14,paid,store,CHF
500022,10160,,pending,store,CHF
500023,10093,2026-04-13,paid,store,CHF
500024,10043,2026-04-02,cancelled,mobile_app,CHF
500025,10130,2026-03-10,paid,online,CHF
500026,10060,2026-01-08,cancelled,store,CHF
500027,10151,2026-01-25,paid,online,CHF
500028,10211,2026-04-01,pending,store,CHF
500029,10031,2026-02-15,paid,online,CHF
500030,10243,2026-03-28,paid,mobile_app,CHF
500031,10005,2026-01-30,paid,online,CHF
500032,10211,2026-04-19,paid,online,CHF
500033,10162,2026-02-16,paid,store,CHF
500034,10010,2026-03-28,paid,online,CHF
500035,10089,2026-02-18,paid,online,CHF
500036,10130,2026-02-16,paid,store,CHF
500037,10126,2026-03-25,paid,online,CHF
500038,10011,2026-03-23,paid,store,CHF
500039,10178,2026-01-18,refunded,online,CHF
500040,10159,2026-03-07,PAID,store,CHF
500041,10056,2026-03-09,refunded,mobile_app,CHF
500042,10207,2026-04-04,paid,store,CHF
500043,10201,2026-02-02,pending,online,CHF
500044,10215,2026-02-05,pending,online,CHF
500045,10083,2026-03-23,paid,online,CHF
500046,10137,2026-04-11,paid,store,CHF
500047,10099,2026-01-19,paid,online,CHF
500048,10149,2026-04-21,pending,online,CHF
500049,10073,2026-01-28,paid,store,CHF
500050,10156,2026-02-09,paid,store,CHF
500051,10190,2026-03-25,paid,online,CHF
