payment_id,order_id,payment_datetime,payment_type,payment_status,payment_amount,card_id,points_used
900001,500001,2026-04-20 01:00:00,card,success,1846.25,,0
900002,500002,2026-01-19 01:00:00,card,failed,0.0,,0
900003,500002,2026-01-19 02:00:00,card,success,980.4,,0
900004,500003,2026-01-11 01:00:00,card,success,3169.55,,0
900005,500004,2026-03-18 01:00:00,card,success,2090.62,,0
900006,500005,2026-02-15 01:00:00,cash,success,1411.47,,0
900007,500006,2026-02-14 01:00:00,installment,success,383.05,,0
900008,500006,2026-02-21 00:00:00,installment,success,441.34,,0
900009,500007,2026-01-01 01:00:00,card,success,328.89,,0
900010,500007,2026-01-02 00:00:00,refund,refunded,-328.89,,0
900011,500008,2026-02-09 01:00:00,card,failed,0.0,,0
900012,500008,2026-02-09 02:00:00,card,success,118.37,,0
900013,500009,2026-04-18 01:00:00,card,failed,0.0,,0
900014,500010,2026-01-19 01:00:00,card,success,2784.92,,0
900015,500010,2026-01-20 00:00:00,refund,refunded,-278.49,,0
900016,500011,2026-03-17 01:00:00,card,failed,0.0,,0
900017,500011,2026-03-17 02:00:00,card,success,1758.23,,0
900018,500012,2026-03-13 01:00:00,loyalty_card,success,3231.58,C70060,10
900019,500013,2026-03-13 01:00:00,cash,success,230.49,,0
900020,500015,2026-04-27 01:00:00,card,success,230.07,,0
900021,500015,2026-04-28 00:00:00,refund,refunded,-57.52,,0
900022,500016,2026-04-19 01:00:00,installment,success,807.84,,0
900023,500016,2026-04-26 00:00:00,installment,success,1322.29,,0
900024,500017,2026-01-12 01:00:00,points,success,0.0,C70094,10
900025,500018,2026-03-02 01:00:00,card,failed,0.0,,0
900026,500019,2026-04-22 01:00:00,card,success,2801.84,,0
900027,500019,2026-04-23 00:00:00,refund,refunded,-1400.92,,0
900028,500020,2026-02-02 01:00:00,card,failed,0.0,,0
900029,500020,2026-02-02 02:00:00,card,success,313.12,,0
900030,500021,2026-02-14 01:00:00,card,failed,0.0,,0
900031,500022,2026-01-01 01:00:00,cash,success,474.15,,0
900032,500023,2026-04-13 01:00:00,card,success,3105.29,,0
900033,500024,2026-04-02 01:00:00,card,success,1204.68,,0
900034,500025,2026-03-10 01:00:00,card,success,1324.96,,0
900035,500027,2026-01-25 01:00:00,cash,success,4101.19,,0
900036,500028,2026-04-01 01:00:00,loyalty_card,success,3122.94,,0
900037,500029,2026-02-15 01:00:00,card,success,1550.81,,0
900038,500029,2026-02-16 00:00:00,refund,refunded,-775.4,,0
900039,500030,2026-03-28 01:00:00,card,failed,0.0,,0
900040,500031,2026-01-30 01:00:00,loyalty_card,success,1761.28,,0
900041,500032,2026-04-19 01:00:00,card,success,580.86,,0
900042,500033,2026-02-16 01:00:00,cash,success,2710.02,,0
900043,500034,2026-03-28 01:00:00,card,success,1001.75,,0
900044,500035,2026-02-18 01:00:00,card,success,167.42,,0
900045,500036,2026-02-16 01:00:00,installment,SUCCESS,1109.6,,0
900046,500036,2026-02-23 00:00:00,installment,success,1562.46,,0
900047,500037,2026-03-25 01:00:00,card,success,2344.77,,0
900048,500038,2026-03-23 01:00:00,card,success,4873.63,,0
900049,500039,2026-01-18 01:00:00,card,success,2363.46,,0
900050,500040,2026-03-07 01:00:00,installment,success,544.52,,0
900051,500040,2026-03-14 00:00:00,installment,pending,0.0,,0
900052,500041,2026-03-09 01:00:00,installment,success,229.81,,0
900053,500041,2026-03-16 00:00:00,installment,success,257.5,,0
900054,500042,2026-04-04 01:00:00,loyalty_card,success,9004.07,C70139,20
900055,500043,2026-02-02 01:00:00,cash,success,720.21,,0
900056,500044,2026-02-05 01:00:00,installment,success,951.64,,0
900057,500044,2026-02-12 00:00:00,installment,success,1406.74,,0
900058,500045,2026-03-23 01:00:00,loyalty_card,success,6585.05,,0
900059,500046,2026-04-11 01:00:00,cash,success,3505.74,,0
900060,500047,2026-01-19 01:00:00,installment,success,261.09,,0
900061,500047,2026-01-26 00:00:00,installment,pending,0.0,,0
900062,500048,2026-04-21 01:00:00,loyalty_card,SUCCESS,4638.68,C70095,0
900063,500049,2026-01-28 01:00:00,cash,success,1848.71,,0
900064,500050,2026-02-09 01:00:00,cash,success,4417.35,,0
900065,500051,2026-03-25 01:00:00,cash,success,1815.52,,0
