ledger_id,card_id,order_id,event_datetime,event_type,points_delta
L000001,C70057,500669.0,2026-04-14 02:00:00,earn,120
L000002,C70125,500051.0,2026-03-25 02:00:00,earn,120
L000003,C70115,500485.0,2026-01-13 02:00:00,earn,20
L000004,C70106,501124.0,2026-03-25 02:00:00,earn,120
L000005,C70126,500483.0,2026-01-30 02:00:00,earn,120
L000006,C70147,500818.0,2026-04-14 02:00:00,earn,20
L000007,C70113,501118.0,2026-02-09 02:00:00,earn,50
L000008,C70087,500783.0,2026-03-28 02:00:00,earn,8
L000009,C70163,501175.0,2026-01-11 02:00:00,earn,120
L000010,C70157,500666.0,2026-02-13 02:00:00,earn,120
L000011,C70097,500775.0,2026-01-29 02:00:00,earn,120
L000012,C70062,500347.0,2026-04-19 02:00:00,earn,120
L000013,C70095,500097.0,2026-03-20 02:00:00,earn,120
L000014,C70008,500303.0,2026-01-05 02:00:00,earn,120
L000015,C70031,500213.0,2026-04-11 02:00:00,earn,120
L000016,C70110,500924.0,2026-04-27 02:00:00,earn,50
L000017,C70040,500222.0,2026-03-18 02:00:00,earn,120
L000018,C70120,500491.0,2026-01-25 02:00:00,earn,120
L000019,C70093,500520.0,2026-03-18 02:00:00,earn,120
L000020,C70143,500629.0,2026-04-09 02:00:00,earn,120
L000021,C70084,500795.0,2026-02-19 02:00:00,earn,120
L000022,C70166,500925.0,2026-03-21 02:00:00,earn,120
L000023,C70026,500679.0,2026-02-18 02:00:00,earn,120
L000024,C70015,500284.0,2026-04-11 02:00:00,earn,120
L000025,C70096,500027.0,2026-01-25 02:00:00,earn,120
L000026,C70027,500604.0,2026-01-17 02:00:00,earn,120
L000027,C70082,500937.0,2026-04-04 02:00:00,earn,120
L000028,C70146,500884.0,2026-03-16 02:00:00,earn,8
L000029,C70027,500754.0,2026-04-10 02:00:00,earn,120
L000030,C70123,500455.0,2026-04-16 02:00:00,earn,120
L000031,C70081,500037.0,2026-03-25 02:00:00,earn,120
L000032,C70148,500599.0,2026-04-11 02:00:00,earn,120
L000033,C70106,500406.0,2026-03-08 02:00:00,earn,120
L000034,C70056,500780.0,2026-01-28 02:00:00,earn,120
L000035,C70071,500283.0,2026-01-17 02:00:00,earn,120
L000036,C70079,501144.0,2026-04-11 02:00:00,earn,120
L000037,C70101,500050.0,2026-02-09 02:00:00,earn,120
L000038,C70099,500725.0,2026-02-27 02:00:00,earn,120
L000039,C70105,500661.0,2026-01-18 02:00:00,earn,8
L000040,C70007,501184.0,2026-01-25 02:00:00,earn,120
L000041,C70156,501183.0,2026-04-21 02:00:00,earn,120
L000042,C70113,501005.0,2026-02-14 02:00:00,earn,120
L000043,C70091,500975.0,2026-02-14 02:00:00,earn,120
L000044,C70136,500627.0,2026-01-18 02:00:00,earn,120
L000045,C70152,500779.0,2026-04-08 02:00:00,earn,120
L000046,C70117,500207.0,2026-04-27 02:00:00,earn,120
L000047,C70092,500731.0,2026-02-28 02:00:00,earn,120
L000048,C70040,500377.0,2026-03-27 02:00:00,earn,120
L000049,C70083,500564.0,2026-01-27 02:00:00,earn,120
L000050,C70132,500793.0,2026-04-06 02:00:00,earn,50
L000051,C70116,500765.0,2026-03-28 02:00:00,earn,120
L000052,C70166,500626.0,2026-04-22 02:00:00,earn,120
L000053,C70150,501081.0,2026-01-01 02:00:00,earn,50
L000054,C70067,500232.0,2026-03-10 02:00:00,earn,120
L000055,C70136,500164.0,2026-04-05 02:00:00,earn,3
L000056,C70044,500603.0,2026-01-11 02:00:00,earn,120
L000057,C70057,500587.0,2026-03-01 02:00:00,earn,120
L000058,C70099,500543.0,2026-01-18 02:00:00,earn,120
L000059,C70043,500910.0,2026-04-12 02:00:00,earn,120
L000060,C70012,500909.0,2026-02-24 02:00:00,earn,120
L000061,C70087,500393.0,2026-02-26 02:00:00,earn,120
L000062,C70012,500684.0,2026-02-13 02:00:00,earn,120
L000063,C70155,500256.0,2026-04-13 02:00:00,earn,120
L000064,C70105,501027.0,2026-01-05 02:00:00,earn,120
L000065,C70050,500983.0,2026-02-03 02:00:00,earn,8
L000066,C70025,501196.0,2026-03-29 02:00:00,earn,50
L000067,C70021,500298.0,2026-01-21 02:00:00,earn,120
L000068,C70159,500508.0,2026-01-14 02:00:00,earn,120
L000069,C70033,501181.0,2026-02-17 02:00:00,earn,120
L000070,C70166,500751.0,2026-03-21 02:00:00,earn,8
L000071,C70099,500429.0,2026-02-15 02:00:00,earn,120
L000072,C70107,500916.0,2026-04-18 02:00:00,earn,120
L000073,C70016,500353.0,2026-02-14 02:00:00,earn,50
L000074,C70161,500562.0,2026-01-19 02:00:00,earn,50
L000075,C70032,501099.0,2026-02-18 02:00:00,earn,120
L000076,C70159,500887.0,2026-01-11 02:00:00,earn,1
L000077,C70148,500843.0,2026-03-25 02:00:00,earn,120
L000078,C70112,500344.0,2026-04-21 02:00:00,earn,120
L000079,C70116,500073.0,2026-03-14 02:00:00,earn,120
L000080,C70025,500777.0,2026-01-29 02:00:00,earn,20
L000081,C70077,500297.0,2026-04-28 02:00:00,earn,20
L000082,C70057,500682.0,2026-01-10 02:00:00,earn,50
L000083,C70093,500056.0,2026-01-15 02:00:00,earn,120
L000084,C70113,500114.0,2026-04-09 02:00:00,earn,120
L000085,C70095,500123.0,2026-04-08 02:00:00,earn,120
L000086,C70139,500236.0,2026-01-13 02:00:00,earn,120
L000087,C70039,500074.0,2026-02-08 02:00:00,earn,120
L000088,C70046,501009.0,2026-02-22 02:00:00,earn,120
L000089,C70154,500386.0,2026-03-17 02:00:00,earn,50
L000090,C70083,500368.0,2026-04-20 02:00:00,earn,120
L000091,C70017,500003.0,2026-01-11 02:00:00,earn,120
L000092,C70132,500819.0,2026-03-09 02:00:00,earn,120
L000093,C70164,500821.0,2026-04-05 02:00:00,earn,120
L000094,C70110,500743.0,2026-02-02 02:00:00,earn,120
L000095,C70165,500845.0,2026-04-15 02:00:00,earn,120
L000096,C70167,501107.0,2026-04-05 02:00:00,earn,120
L000097,C70125,500892.0,2026-02-10 02:00:00,earn,120
L000098,C70022,500917.0,2026-04-25 02:00:00,earn,120
L000099,C70089,500254.0,2026-02-13 02:00:00,earn,120
L000100,C70010,500739.0,2026-04-06 02:00:00,earn,120
L000101,C70126,500720.0,2026-01-16 02:00:00,earn,120
L000102,C70100,500081.0,2026-01-02 02:00:00,earn,120
L000103,C70134,500934.0,2026-04-06 02:00:00,earn,20
L000104,C70155,500161.0,2026-02-04 02:00:00,earn,120
L000105,C70146,500776.0,2026-04-15 02:00:00,earn,120
L000106,C70095,500633.0,2026-04-15 02:00:00,earn,120
L000107,C70120,500489.0,2026-01-19 02:00:00,earn,120
L000108,C70026,500190.0,2026-03-08 02:00:00,earn,120
L000109,C70037,500524.0,2026-03-23 02:00:00,earn,120
L000110,C70082,500384.0,2026-01-21 02:00:00,earn,50
L000111,C70032,500068.0,2026-01-10 02:00:00,earn,120
L000112,C70020,500029.0,2026-02-15 02:00:00,earn,120
L000113,C70079,500070.0,2026-03-23 02:00:00,earn,120
L000114,C70143,500879.0,2026-04-17 02:00:00,earn,120
L000115,C70042,501078.0,2026-01-15 02:00:00,earn,120
L000116,C70134,500753.0,2026-04-27 02:00:00,earn,120
L000117,C70139,500042.0,2026-04-04 02:00:00,earn,120
L000118,C70043,500521.0,2026-02-28 02:00:00,earn,120
L000119,C70167,500995.0,2026-04-04 02:00:00,earn,20
L000120,C70014,500444.0,2026-02-03 02:00:00,earn,120
L000121,C70154,500072.0,2026-04-28 02:00:00,earn,8
L000122,C70058,501185.0,2026-01-21 02:00:00,earn,50
L000123,C70017,500853.0,2026-04-08 02:00:00,earn,20
L000124,C70165,500809.0,2026-01-26 02:00:00,earn,50
L000125,C70070,500702.0,2026-04-21 02:00:00,earn,120
L000126,C70123,500365.0,2026-03-10 02:00:00,earn,120
L000127,C70050,500279.0,2026-03-26 02:00:00,earn,20
L000128,C70146,500497.0,2026-02-01 02:00:00,earn,120
L000129,C70119,500570.0,2026-01-15 02:00:00,earn,120
L000130,C70115,500631.0,2026-04-15 02:00:00,earn,120
L000131,C70081,501182.0,2026-02-21 02:00:00,earn,120
L000132,C70118,501019.0,2026-01-20 02:00:00,earn,120
L000133,C70156,500135.0,2026-02-17 02:00:00,earn,120
L000134,C70125,501166.0,2026-04-29 02:00:00,earn,120
L000135,C70034,500456.0,2026-01-16 02:00:00,earn,120
L000136,C70074,500480.0,2026-03-06 02:00:00,earn,8
L000137,C70113,500006.0,2026-02-14 02:00:00,earn,50
L000138,C70115,501155.0,2026-02-08 02:00:00,earn,120
L000139,C70167,500667.0,2026-01-21 02:00:00,earn,120
L000140,C70065,500482.0,2026-04-15 02:00:00,earn,120
L000141,C70069,500613.0,2026-03-24 02:00:00,earn,120
L000142,C70059,500970.0,2026-01-27 02:00:00,earn,120
L000143,C70047,500516.0,2026-01-22 02:00:00,earn,120
L000144,C70087,500824.0,2026-04-17 02:00:00,earn,120
L000145,C70097,500474.0,2026-01-27 02:00:00,earn,120
L000146,C70012,500271.0,2026-04-09 02:00:00,earn,120
L000147,C70009,500837.0,2026-02-15 02:00:00,earn,120
L000148,C70095,500093.0,2026-04-17 02:00:00,earn,3
L000149,C70124,500007.0,2026-01-01 02:00:00,earn,20
L000150,C70062,500057.0,2026-02-10 02:00:00,earn,120
L000151,C70079,500280.0,2026-01-08 02:00:00,earn,120
L000152,C70110,501089.0,2026-02-05 02:00:00,earn,120
L000153,C70142,500918.0,2026-01-29 02:00:00,earn,120
L000154,C70065,500567.0,2026-03-09 02:00:00,earn,120
L000155,C70041,501119.0,2026-01-07 02:00:00,earn,120
L000156,C70098,501134.0,2026-02-05 02:00:00,earn,120
L000157,C70024,500711.0,2026-01-25 02:00:00,earn,120
L000158,C70105,500618.0,2026-04-11 02:00:00,earn,50
L000159,C70124,500120.0,2026-01-30 02:00:00,earn,50
L000160,C70151,500955.0,2026-04-02 02:00:00,earn,120
L000161,C70062,500851.0,2026-02-07 02:00:00,earn,120
L000162,C70146,500228.0,2026-04-06 02:00:00,earn,120
L000163,C70106,500855.0,2026-04-06 02:00:00,earn,120
L000164,C70059,500255.0,2026-01-11 02:00:00,earn,120
L000165,C70131,500768.0,2026-03-13 02:00:00,earn,120
L000166,C70016,500905.0,2026-03-30 02:00:00,earn,120
L000167,C70065,500555.0,2026-02-13 02:00:00,earn,120
L000168,C70066,500991.0,2026-03-08 02:00:00,earn,120
L000169,C70139,500337.0,2026-02-22 02:00:00,earn,120
L000170,C70095,500551.0,2026-01-08 02:00:00,earn,120
L000171,C70028,500502.0,2026-03-13 02:00:00,earn,120
L000172,C70122,500904.0,2026-04-11 02:00:00,earn,20
L000173,C70032,500130.0,2026-02-10 02:00:00,earn,120
L000174,C70050,500015.0,2026-04-27 02:00:00,earn,20
L000175,C70092,500630.0,2026-04-18 02:00:00,earn,120
L000176,C70094,500493.0,2026-01-31 02:00:00,earn,120
L000177,C70100,500740.0,2026-04-06 02:00:00,earn,8
L000178,C70037,501137.0,2026-03-10 02:00:00,earn,120
L000179,C70007,501025.0,2026-02-10 02:00:00,earn,20
L000180,C70117,500761.0,2026-02-01 02:00:00,earn,120
L000181,C70097,500583.0,2026-03-28 02:00:00,earn,120
L000182,C70162,500338.0,2026-03-19 02:00:00,earn,120
L000183,C70031,501192.0,2026-02-20 02:00:00,earn,120
L000184,C70093,500411.0,2026-01-01 02:00:00,earn,120
L000185,C70032,501029.0,2026-01-17 02:00:00,earn,50
L000186,C70153,500431.0,2026-01-04 02:00:00,earn,50
L000187,C70105,501073.0,2026-02-15 02:00:00,earn,20
L000188,C70153,500095.0,2026-02-24 02:00:00,earn,120
L000189,C70094,500017.0,2026-01-12 02:00:00,earn,120
L000190,C70105,500806.0,2026-03-12 02:00:00,earn,50
L000191,C70040,501026.0,2026-04-15 02:00:00,earn,50
L000192,C70108,500649.0,2026-04-07 02:00:00,earn,120
L000193,C70130,500664.0,2026-03-11 02:00:00,earn,120
L000194,C70088,500595.0,2026-03-26 02:00:00,earn,120
L000195,C70069,500803.0,2026-02-28 02:00:00,earn,50
L000196,C70074,500126.0,2026-03-08 02:00:00,earn,120
L000197,C70059,501125.0,2026-01-03 02:00:00,earn,120
L000198,C70116,500617.0,2026-01-17 02:00:00,earn,120
L000199,C70028,501086.0,2026-02-09 02:00:00,earn,120
L000200,C70069,500609.0,2026-03-14 02:00:00,earn,120
L000201,C70017,500986.0,2026-02-01 02:00:00,earn,20
L000202,C70046,500049.0,2026-01-28 02:00:00,earn,120
L000203,C70141,500624.0,2026-04-09 02:00:00,earn,50
L000204,C70058,500340.0,2026-03-23 02:00:00,earn,120
L000205,C70160,500119.0,2026-04-12 02:00:00,earn,50
L000206,C70057,500396.0,2026-02-04 02:00:00,earn,120
L000207,C70087,501077.0,2026-03-09 02:00:00,earn,50
L000208,C70115,501057.0,2026-03-19 02:00:00,earn,50
L000209,C70058,500708.0,2026-01-24 02:00:00,earn,120
L000210,C70110,500272.0,2026-03-23 02:00:00,earn,50
L000211,C70086,501142.0,2026-01-30 02:00:00,earn,120
L000212,C70095,500295.0,2026-02-16 02:00:00,earn,50
L000213,C70044,500568.0,2026-04-10 02:00:00,earn,8
L000214,C70098,500276.0,2026-01-19 02:00:00,earn,120
L000215,C70145,500619.0,2026-04-28 02:00:00,earn,120
L000216,C70087,500046.0,2026-04-11 02:00:00,earn,120
L000217,C70072,500964.0,2026-02-24 02:00:00,earn,50
L000218,C70058,500176.0,2026-02-25 02:00:00,earn,50
L000219,C70151,500487.0,2026-01-19 02:00:00,earn,120
L000220,C70093,500263.0,2026-04-09 02:00:00,earn,120
L000221,C70103,500582.0,2026-02-27 02:00:00,earn,120
L000222,C70148,500230.0,2026-01-22 02:00:00,earn,120
L000223,C70027,500341.0,2026-04-02 02:00:00,earn,3
L000224,C70147,501038.0,2026-01-11 02:00:00,earn,120
L000225,C70115,500906.0,2026-01-18 02:00:00,earn,120
L000226,C70161,500158.0,2026-03-01 02:00:00,earn,120
L000227,C70019,500155.0,2026-01-19 02:00:00,earn,120
L000228,C70164,500094.0,2026-03-06 02:00:00,earn,120
L000229,C70091,501153.0,2026-04-28 02:00:00,earn,120
L000230,C70095,500436.0,2026-01-01 00:00:00,earn,120
L000231,C70156,501035.0,2026-04-03 02:00:00,earn,120
L000232,C70163,500834.0,2026-02-16 02:00:00,earn,120
L000233,C70097,500673.0,2026-04-10 02:00:00,earn,20
L000234,C70055,500577.0,2026-02-25 02:00:00,earn,120
L000235,C70051,500055.0,2026-04-25 02:00:00,earn,120
L000236,C70114,500305.0,2026-02-25 02:00:00,earn,120
L000237,C70133,501112.0,2026-03-01 02:00:00,earn,3
L000238,C70080,500919.0,2026-02-28 02:00:00,earn,8
L000239,C70081,500559.0,2026-01-11 02:00:00,earn,50
L000240,C70068,500145.0,2026-01-28 02:00:00,earn,120
L000241,C70006,500221.0,2026-01-29 02:00:00,earn,120
L000242,C70092,500945.0,2026-04-24 02:00:00,earn,120
L000243,C70110,500987.0,2026-03-30 02:00:00,earn,20
L000244,C70156,500742.0,2026-01-25 02:00:00,earn,50
L000245,C70153,500479.0,2026-02-08 02:00:00,earn,120
L000246,C70097,500196.0,2026-02-15 02:00:00,earn,50
L000247,C70008,501059.0,2026-01-23 02:00:00,earn,20
L000248,C70063,500700.0,2026-01-25 02:00:00,earn,50
L000249,C70163,500977.0,2026-04-10 02:00:00,earn,120
L000250,C70162,500544.0,2026-04-06 02:00:00,earn,120
L000251,C70062,500755.0,2026-03-18 02:00:00,earn,50
L000252,C70105,500893.0,2026-01-16 02:00:00,earn,120
L000253,C70150,500267.0,2026-01-11 02:00:00,earn,120
L000254,C70014,500016.0,2026-04-19 02:00:00,earn,120
L000255,C70068,501096.0,2026-03-08 02:00:00,earn,120
L000256,C70008,501138.0,2026-01-13 02:00:00,earn,120
L000257,C70009,500327.0,2026-03-29 02:00:00,earn,120
L000258,C70110,501152.0,2026-02-16 02:00:00,earn,120
L000259,C70078,500764.0,2026-04-07 02:00:00,earn,120
L000260,C70087,500959.0,2026-03-26 02:00:00,earn,50
L000261,C70084,500025.0,2026-03-10 02:00:00,earn,120
L000262,C70126,500553.0,2026-01-06 02:00:00,earn,120
L000263,C70052,500672.0,2026-03-06 02:00:00,earn,50
L000264,C70012,500062.0,2026-04-15 02:00:00,earn,20
L000265,C70031,500537.0,2026-03-20 02:00:00,earn,120
L000266,C70023,501079.0,2026-04-09 02:00:00,earn,120
L000267,C70163,500538.0,2026-02-26 02:00:00,earn,120
L000268,C70165,500414.0,2026-01-13 02:00:00,earn,50
L000269,C70118,500260.0,2026-04-02 02:00:00,earn,120
L000270,C70164,500219.0,2026-03-14 02:00:00,earn,8
L000271,C70063,500379.0,2026-03-08 02:00:00,earn,120
L000272,C70102,501108.0,2026-02-22 02:00:00,earn,120
L000273,C70042,500242.0,2026-02-20 02:00:00,earn,120
L000274,C70060,500325.0,2026-02-02 02:00:00,earn,120
L000275,C70001,501128.0,2026-02-16 02:00:00,earn,120
L000276,C70043,501067.0,2026-01-08 02:00:00,earn,50
L000277,C70114,501014.0,2026-04-24 02:00:00,earn,120
L000278,C70132,500505.0,2026-01-20 02:00:00,earn,120
L000279,C70055,501157.0,2026-04-30 02:00:00,earn,120
L000280,C70046,500605.0,2026-03-09 02:00:00,earn,120
L000281,C70034,500782.0,2026-03-20 02:00:00,earn,120
L000282,C70106,500838.0,2026-04-24 02:00:00,earn,120
L000283,C70080,500741.0,2026-04-27 02:00:00,earn,120
L000284,C70054,500045.0,2026-03-23 02:00:00,earn,120
L000285,C70152,500086.0,2026-04-04 02:00:00,earn,120
L000286,C70091,501016.0,2026-02-27 02:00:00,earn,120
L000287,C70128,500873.0,2026-04-04 02:00:00,earn,120
L000288,C70025,501188.0,2026-04-23 02:00:00,earn,120
L000289,C70152,500113.0,2026-02-05 02:00:00,earn,120
L000290,C70019,500326.0,2026-03-03 02:00:00,earn,120
L000291,C70057,500706.0,2026-02-23 02:00:00,earn,50
L000292,C70017,500359.0,2026-03-13 02:00:00,earn,120
L000293,C70162,500030.0,2026-03-28 02:00:00,earn,120
L000294,C70096,500968.0,2026-01-22 02:00:00,earn,50
L000295,C70040,500547.0,2026-03-22 02:00:00,earn,120
L000296,C70058,500988.0,2026-04-03 02:00:00,earn,120
L000297,C70057,500087.0,2026-02-09 02:00:00,earn,120
L000298,C70014,500424.0,2026-03-04 02:00:00,earn,120
L000299,C70064,500047.0,2026-01-19 02:00:00,earn,50
L000300,C70031,500899.0,2026-02-28 02:00:00,earn,120
L000301,C70025,500898.0,2026-03-05 02:00:00,earn,120
L000302,C70040,501062.0,2026-01-15 02:00:00,earn,120
L000303,C70006,500774.0,2026-03-08 02:00:00,earn,50
L000304,C70011,500920.0,2026-04-08 02:00:00,earn,120
L000305,C70119,500598.0,2026-01-13 02:00:00,earn,120
L000306,C70087,500518.0,2026-03-04 02:00:00,earn,1
L000307,C70098,500233.0,2026-02-06 02:00:00,earn,120
L000308,C70063,500971.0,2026-04-03 02:00:00,earn,120
L000309,C70009,500105.0,2026-01-23 02:00:00,earn,50
L000310,C70141,500789.0,2026-01-09 02:00:00,earn,120
L000311,C70029,500542.0,2026-01-26 02:00:00,earn,120
L000312,C70154,500560.0,2026-03-06 02:00:00,earn,120
L000313,C70142,501004.0,2026-01-18 02:00:00,earn,120
L000314,C70162,500211.0,2026-02-06 02:00:00,earn,120
L000315,C70139,500332.0,2026-03-05 02:00:00,earn,120
L000316,C70124,500574.0,2026-02-18 02:00:00,earn,50
L000317,C70014,501069.0,2026-04-22 02:00:00,earn,120
L000318,C70071,500250.0,2026-03-26 02:00:00,earn,8
L000319,C70084,500036.0,2026-02-16 02:00:00,earn,120
L000320,C70122,500614.0,2026-01-12 02:00:00,earn,120
L000321,C70025,501039.0,2026-02-25 02:00:00,earn,120
L000322,C70031,501104.0,2026-01-23 02:00:00,earn,120
L000323,C70009,500392.0,2026-01-30 02:00:00,earn,8
L000324,C70006,501085.0,2026-01-27 02:00:00,earn,120
L000325,C70103,500286.0,2026-04-28 02:00:00,earn,120
L000326,C70038,500078.0,2026-03-11 02:00:00,earn,120
L000327,C70103,500836.0,2026-04-15 02:00:00,earn,50
L000328,C70115,500994.0,2026-04-27 02:00:00,earn,3
L000329,C70006,500185.0,2026-03-10 02:00:00,earn,120
L000330,C70050,501037.0,2026-03-10 02:00:00,earn,120
L000331,C70099,500856.0,2026-03-02 02:00:00,earn,120
L000332,C70139,500962.0,2026-04-14 02:00:00,earn,120
L000333,C70102,500138.0,2026-04-28 02:00:00,earn,120
L000334,C70134,500187.0,2026-04-30 02:00:00,earn,120
L000335,C70039,500470.0,2026-03-28 02:00:00,earn,120
L000336,C70123,500215.0,2026-03-28 02:00:00,earn,50
L000337,C70110,500710.0,2026-02-12 02:00:00,earn,20
L000338,C70130,501040.0,2026-02-20 02:00:00,earn,120
L000339,C70054,500996.0,2026-02-04 02:00:00,earn,120
L000340,C70157,500397.0,2026-01-19 02:00:00,earn,120
L000341,C70067,500788.0,2026-04-14 02:00:00,earn,120
L000342,C70117,500333.0,2026-04-25 02:00:00,earn,120
L000343,C70016,500762.0,2026-03-16 02:00:00,earn,120
L000344,C70113,500177.0,2026-03-17 02:00:00,earn,120
L000345,C70093,500366.0,2026-01-13 02:00:00,earn,50
L000346,C70042,501041.0,2026-01-21 02:00:00,earn,50
L000347,C70168,500612.0,2026-03-24 02:00:00,earn,120
L000348,C70091,501031.0,2026-04-08 02:00:00,earn,50
L000349,C70151,500607.0,2026-01-25 02:00:00,earn,120
L000350,C70141,500963.0,2026-03-07 02:00:00,earn,120
L000351,C70072,500653.0,2026-02-14 02:00:00,earn,120
L000352,C70047,500903.0,2026-01-11 02:00:00,earn,120
L000353,C70050,500514.0,2026-01-24 02:00:00,earn,120
L000354,C70124,500441.0,2026-03-18 02:00:00,earn,120
L000355,C70046,500234.0,2026-04-15 02:00:00,earn,120
L000356,C70155,500133.0,2026-04-14 02:00:00,earn,120
L000357,C70060,500012.0,2026-03-13 01:00:00,redeem,-10
L000358,C70094,500017.0,2026-01-12 01:00:00,redeem,-10
L000359,C70139,500042.0,2026-04-04 01:00:00,redeem,-20
L000360,C70145,500092.0,2026-02-04 01:00:00,redeem,-50
L000361,C70161,500108.0,2026-01-28 01:00:00,redeem,-20
L000362,C70018,500127.0,2026-01-28 01:00:00,redeem,-20
L000363,C70155,500133.0,2026-04-14 01:00:00,redeem,-100
L000364,C70126,500146.0,2026-02-06 01:00:00,redeem,-20
L000365,C70087,500149.0,2026-02-06 01:00:00,redeem,-10
L000366,C70084,500152.0,2026-03-06 01:00:00,redeem,-10
L000367,C70161,500158.0,2026-03-01 01:00:00,redeem,-50
L000368,C70026,500190.0,2026-03-08 01:00:00,redeem,-5
L000369,C70097,500196.0,2026-02-15 01:00:00,redeem,-5
L000370,C70085,500210.0,2026-04-11 01:00:00,redeem,-10
L000371,C70123,500215.0,2026-03-28 01:00:00,redeem,-20
L000372,C70148,500230.0,2026-01-22 01:00:00,redeem,-20
L000373,C70129,500238.0,2026-04-19 01:00:00,redeem,-20
L000374,C70059,500255.0,2026-01-11 01:00:00,redeem,-10
L000375,C70075,500258.0,2026-04-25 01:00:00,redeem,-100
L000376,C70015,500284.0,2026-04-11 01:00:00,redeem,-10
L000377,C70160,500302.0,2026-04-02 01:00:00,redeem,-20
L000378,C70096,500316.0,2026-04-18 01:00:00,redeem,-10
L000379,C70117,500333.0,2026-04-25 01:00:00,redeem,-10
L000380,C70139,500337.0,2026-02-22 01:00:00,redeem,-10
L000381,C70093,500366.0,2026-01-13 01:00:00,redeem,-100
L000382,C70152,500453.0,2026-04-29 01:00:00,redeem,-20
L000383,C70039,500470.0,2026-03-28 01:00:00,redeem,-5
L000384,C70075,500501.0,2026-04-10 01:00:00,redeem,-20
L000385,C70093,500520.0,2026-03-18 01:00:00,redeem,-20
L000386,C70031,500537.0,2026-03-20 01:00:00,redeem,-100
L000387,C70029,500542.0,2026-01-26 01:00:00,redeem,-50
L000388,C70099,500543.0,2026-01-18 01:00:00,redeem,-10
L000389,C70108,500548.0,2026-03-28 01:00:00,redeem,-20
L000390,C70036,500575.0,2026-03-11 01:00:00,redeem,-20
L000391,C70103,500582.0,2026-02-27 01:00:00,redeem,-50
L000392,C70116,500662.0,2026-01-03 01:00:00,redeem,-5
L000393,C70157,500666.0,2026-02-13 01:00:00,redeem,-50
L000394,C70022,500671.0,2026-02-23 01:00:00,redeem,-10
L000395,C70110,500710.0,2026-02-12 01:00:00,redeem,-20
L000396,C70124,500712.0,2026-04-10 01:00:00,redeem,-50
L000397,C70008,500772.0,2026-01-04 01:00:00,redeem,-50
L000398,C70034,500782.0,2026-03-20 01:00:00,redeem,-10
L000399,C70165,500809.0,2026-01-26 01:00:00,redeem,-100
L000400,C70006,500810.0,2026-01-25 01:00:00,redeem,-5
L000401,C70115,500814.0,2026-01-11 01:00:00,redeem,-10
L000402,C70132,500819.0,2026-03-09 01:00:00,redeem,-20
L000403,C70043,500910.0,2026-04-12 01:00:00,redeem,-20
L000404,C70080,500919.0,2026-02-28 01:00:00,redeem,-100
L000405,C70149,500965.0,2026-03-13 01:00:00,redeem,-20
L000406,C70110,501022.0,2026-01-10 01:00:00,redeem,-5
L000407,C70105,501027.0,2026-01-05 01:00:00,redeem,-10
L000408,C70076,501028.0,2026-03-06 01:00:00,redeem,-10
L000409,C70025,501039.0,2026-02-25 01:00:00,redeem,-5
L000410,C70023,501079.0,2026-04-09 01:00:00,redeem,-50
L000411,C70102,501108.0,2026-02-22 01:00:00,redeem,-100
L000412,C70008,501138.0,2026-01-13 01:00:00,redeem,-20
L000413,C70120,501195.0,2026-04-15 01:00:00,redeem,-5
L000414,C70126,501199.0,2026-01-15 01:00:00,redeem,-5
L000415,C70023,501079.0,2026-04-09 01:00:00,redeem,-50
L000416,C70099,,2026-03-01 00:00:00,adjustment,-10
L000417,C70154,,2026-03-02 00:00:00,adjustment,25
L000418,C70063,,2026-03-03 00:00:00,correction,10
