card_id,customer_id,card_created_at,card_status
C70001,10001,2024-03-21,active
C70002,10002,2025-12-10,blocked
C70003,10004,2025-07-24,blocked
C70004,10006,2024-01-16,inactive
C70005,10007,2024-03-26,inactive
C70006,10008,2025-09-20,active
C70007,10009,2025-05-12,active
C70008,10012,2025-02-05,active
C70009,10013,2025-06-09,active
C70010,10014,2024-07-06,active
C70011,10016,2024-07-01,active
C70012,10017,2025-05-11,active
C70013,10018,2025-01-31,active
C70014,10020,2025-03-25,active
C70015,10022,2026-01-28,active
C70016,10023,2025-08-30,active
C70017,10025,2025-04-21,active
C70018,10026,2024-09-28,inactive
C70019,10029,2024-12-24,active
C70020,10031,2025-03-04,active
C70021,10032,2024-11-19,active
C70022,10033,2025-03-07,active
C70023,10035,2024-12-09,active
C70024,10038,2025-01-14,active
C70025,10041,2024-08-13,active
C70026,10043,2025-10-21,active
C70027,10044,2024-08-30,active
C70028,10045,2024-08-13,active
C70029,10046,2025-05-20,active
C70030,10047,2024-02-23,blocked
C70031,10051,2025-05-04,active
C70032,10052,2024-05-24,active
C70033,10054,2024-04-29,active
C70034,10055,2025-08-02,active
C70035,10056,2025-09-08,active
C70036,10057,2025-06-24,inactive
C70037,10061,2024-09-17,active
C70038,10062,2024-05-03,active
C70039,10063,2024-06-24,active
C70040,10064,2024-11-11,active
C70041,10067,2024-10-27,active
C70042,10068,2025-11-28,active
C70043,10069,2024-02-09,active
C70044,10070,2024-09-18,active
C70045,10072,2025-07-24,inactive
C70046,10073,2024-12-28,active
C70047,10075,2025-10-28,active
C70048,10076,2026-01-16,blocked
C70049,10077,2024-01-31,active
C70050,10078,2024-12-28,active
C70051,10080,2024-09-14,active
C70052,10081,2024-10-21,active
C70053,10082,2025-10-28,blocked
C70054,10083,2024-08-10,active
C70055,10084,2024-12-30,active
C70056,10085,2025-02-17,active
C70057,10086,2025-02-15,active
C70058,10088,2024-07-14,active
C70059,10091,2025-06-07,active
C70060,10092,2025-12-05,active
C70061,10093,2024-07-28,inactive
C70062,10097,2025-01-15,active
C70063,10098,2024-02-02,active
C70064,10099,2025-04-03,active
C70065,10100,2025-03-05,active
C70066,10102,2025-05-03,active
C70067,10104,2024-05-09,active
C70068,10105,2025-04-03,active
C70069,10107,2025-08-26,active
C70070,10112,2025-05-21,active
C70071,10114,2024-06-11,active
C70072,10115,2025-06-07,active
C70073,10116,2025-06-22,blocked
C70074,10117,2025-10-18,active
C70075,10118,2024-01-27,inactive
C70076,10120,2025-11-23,inactive
C70077,10122,2025-06-10,active
C70078,10123,2024-09-29,active
C70079,10124,2025-06-04,active
C70080,10125,2025-12-26,active
C70081,10126,2024-12-09,active
C70082,10128,2024-09-30,active
C70083,10129,2025-05-09,active
C70084,10130,2024-10-27,active
C70085,10135,2025-08-10,blocked
C70086,10136,2025-08-14,active
C70087,10137,2025-11-03,active
C70088,10138,2024-01-02,active
C70089,10140,2025-08-11,active
C70090,10141,2024-07-12,blocked
C70091,10142,2024-05-01,active
C70092,10143,2025-03-03,active
C70093,10144,2025-09-26,active
C70094,10146,2025-02-19,active
C70095,10149,2024-03-24,active
C70096,10151,2024-03-24,active
C70097,10152,2024-01-22,active
C70098,10153,2025-11-30,active
C70099,10154,2024-01-12,active
C70100,10155,2024-10-27,active
C70101,10156,2026-01-19,active
C70102,10157,2025-09-22,active
C70103,10158,2025-08-16,active
C70104,10159,2025-07-02,blocked
C70105,10161,2025-12-14,active
C70106,10162,2024-07-25,active
C70107,10163,2025-12-25,active
C70108,10165,2025-05-30,active
C70109,10167,2025-07-15,inactive
C70110,10168,2025-02-23,active
C70111,10169,2026-01-09,inactive
C70112,10171,2026-01-24,active
C70113,10173,2024-08-24,active
C70114,10175,2025-06-03,active
C70115,10176,2024-10-24,active
C70116,10178,2025-07-06,active
C70117,10180,2025-05-18,active
C70118,10181,2026-01-12,active
C70119,10182,2024-01-28,active
C70120,10183,2025-03-24,active
C70121,10184,2024-10-27,active
C70122,10185,2024-01-10,active
C70123,10186,2025-08-27,active
C70124,10188,2024-10-02,active
C70125,10190,2024-10-10,active
C70126,10192,2024-06-13,active
C70127,10193,2024-06-04,inactive
C70128,10194,2024-09-07,active
C70129,10195,2025-10-03,active
C70130,10196,2024-10-08,active
C70131,10197,2024-07-16,active
C70132,10198,2024-06-09,active
C70133,10199,2025-05-04,active
C70134,10200,2024-09-07,active
C70135,10202,2024-07-03,active
C70136,10203,2025-03-02,active
C70137,10204,2024-05-30,active
C70138,10205,2024-12-01,inactive
C70139,10207,2024-12-06,active
C70140,10208,2024-12-17,active
C70141,10210,2024-07-11,active
C70142,10212,2024-04-23,active
C70143,10216,2024-12-10,active
C70144,10217,2024-05-26,inactive
C70145,10219,2024-12-26,active
C70146,10220,2025-12-04,active
C70147,10222,2025-11-18,active
C70148,10223,2024-06-07,active
C70149,10225,2025-05-08,inactive
C70150,10226,2025-04-26,active
C70151,10228,2024-11-26,active
C70152,10229,2025-03-30,active
C70153,10230,2024-03-16,active
C70154,10231,2025-08-27,active
C70155,10232,2025-05-11,active
C70156,10233,2024-09-23,active
C70157,10234,2024-01-03,active
C70158,10239,2024-05-12,active
C70159,10240,2024-10-26,active
C70160,10241,2024-12-08,active
C70161,10242,2025-03-02,active
C70162,10243,2024-12-01,active
C70163,10245,2025-12-15,active
C70164,10246,2024-05-20,active
C70165,10247,2025-01-07,active
C70166,10248,2026-01-20,active
C70167,10249,2024-04-15,active
C70168,10250,2025-08-11,active
