product_id,product_name,category,standard_price,is_active
P001,Product P001,Grocery,20.25,True
P002,Product P002,Books,419.07,True
P003,Product P003,Home,396.58,False
P004,Product P004,Beauty,357.62,False
P005,Product P005,Electronics,154.61,True
P006,Product P006,Sports,257.13,True
P007,Product P007,Grocery,388.44,True
P008,Product P008,Electronics,325.41,True
P009,Product P009,Sports,642.12,True
P010,Product P010,Electronics,93.0,True
P011,Product P011,Beauty,453.37,True
P012,Product P012,Beauty,265.79,True
P013,Product P013,Beauty,281.19,True
P014,Product P014,Books,467.85,True
P015,Product P015,Books,451.62,True
P016,Product P016,Grocery,644.36,True
P017,Product P017,Beauty,87.81,True
P018,Product P018,Sports,72.15,True
P019,Product P019,Electronics,472.2,True
P020,Product P020,Home,378.06,False
P021,Product P021,Sports,181.83,True
P022,Product P022,Books,56.23,True
P023,Product P023,Books,60.25,True
P024,Product P024,Sports,581.75,True
P025,Product P025,Books,128.75,True
P026,Product P026,Beauty,213.57,True
P027,Product P027,Grocery,151.19,True
P028,Product P028,Electronics,233.97,True
P029,Product P029,Grocery,49.78,False
P030,Product P030,Electronics,339.79,True
P031,Product P031,Electronics,48.61,True
P032,Product P032,Grocery,521.23,False
P033,Product P033,Sports,155.74,True
P034,Product P034,Electronics,353.31,True
P035,Product P035,Grocery,572.65,True
P036,Product P036,Electronics,424.82,True
P037,Product P037,Home,348.76,True
P038,Product P038,Sports,214.2,True
P039,Product P039,Beauty,219.79,True
P040,Product P040,Electronics,436.82,True
P041,Product P041,Home,646.22,True
P042,Product P042,Beauty,431.89,True
P043,Product P043,Beauty,364.77,True
P044,Product P044,Electronics,476.27,True
P045,Product P045,Grocery,305.06,True
P046,Product P046,Electronics,43.79,False
P047,Product P047,Home,367.68,True
P048,Product P048,Beauty,622.67,True
P049,Product P049,Electronics,118.07,True
P050,Product P050,Grocery,450.05,True
P051,Product P051,Electronics,134.6,False
P052,Product P052,Sports,350.61,True
P053,Product P053,Grocery,67.36,True
P054,Product P054,Home,295.49,True
P055,Product P055,Beauty,492.73,True
P056,Product P056,Electronics,229.18,True
P057,Product P057,Grocery,433.87,True
P058,Product P058,Sports,518.07,True
P059,Product P059,Grocery,603.03,True
P060,Product P060,Books,156.34,True
